model_name,train_time
all-mpnet-base-v2_5_13_10,46.18711447715759
all-mpnet-base-v2_5_13_11,44.733065128326416
all-mpnet-base-v2_5_13_12,43.77759981155396
all-mpnet-base-v2_5_13_13,42.15863513946533
all-mpnet-base-v2_5_13_14,41.249695777893066
all-mpnet-base-v2_5_13_15,40.31169939041138
all-mpnet-base-v2_5_13_16,39.22040510177612
all-mpnet-base-v2_5_13_17,39.18602442741394
all-mpnet-base-v2_5_13_18,39.12478494644165
all-mpnet-base-v2_5_13_19,38.57922887802124
all-mpnet-base-v2_5_13_20,38.494751930236816
all-mpnet-base-v2_5_13_21,39.08024454116821
all-mpnet-base-v2_5_13_22,38.406697511672974
all-mpnet-base-v2_5_13_23,40.181994676589966
all-mpnet-base-v2_5_13_24,38.350664138793945
all-mpnet-base-v2_5_13_25,37.41176724433899
all-mpnet-base-v2_5_14_5,78.57062315940857
all-mpnet-base-v2_5_14_6,55.55042386054993
all-mpnet-base-v2_5_14_7,51.85754323005676
all-mpnet-base-v2_5_14_8,49.673030376434326
all-mpnet-base-v2_5_14_9,47.750635623931885
all-mpnet-base-v2_5_14_10,45.93761444091797
all-mpnet-base-v2_5_14_11,43.766345262527466
all-mpnet-base-v2_5_14_12,42.32611584663391
all-mpnet-base-v2_5_14_13,41.984089851379395
all-mpnet-base-v2_5_14_14,41.89123320579529
all-mpnet-base-v2_5_14_15,41.27368521690369
all-mpnet-base-v2_5_14_16,40.253440380096436
all-mpnet-base-v2_5_14_17,39.449936389923096
all-mpnet-base-v2_5_14_18,40.149518728256226
all-mpnet-base-v2_5_14_19,39.631115198135376
all-mpnet-base-v2_5_14_20,38.9762282371521
all-mpnet-base-v2_5_14_21,50.61107134819031
all-mpnet-base-v2_5_14_22,38.57186412811279
all-mpnet-base-v2_5_14_23,38.34242582321167
all-mpnet-base-v2_5_14_24,38.51798605918884
all-mpnet-base-v2_5_14_25,37.157490491867065
all-mpnet-base-v2_5_15_5,59.04212808609009
all-mpnet-base-v2_5_15_6,55.6203978061676
all-mpnet-base-v2_5_15_7,53.19058179855347
all-mpnet-base-v2_5_15_8,51.0704779624939
all-mpnet-base-v2_5_15_9,47.72291922569275
all-mpnet-base-v2_5_15_10,45.57339859008789
all-mpnet-base-v2_5_15_11,44.730730056762695
all-mpnet-base-v2_5_15_12,43.45418381690979
all-mpnet-base-v2_5_15_13,42.30589199066162
all-mpnet-base-v2_5_15_14,42.06179857254028
all-mpnet-base-v2_5_15_15,41.33318543434143
all-mpnet-base-v2_5_15_16,41.25409698486328
all-mpnet-base-v2_5_15_17,39.79749345779419
all-mpnet-base-v2_5_15_18,39.50101113319397
all-mpnet-base-v2_5_15_19,39.28081178665161
